word,dat_freq,corpus_freq,log_corpus_freq,zipf_freq,mean_score_contrib,in_vocab,dat_freq_rank,corpus_freq_rank
аба,1,3.47e-07,-6.459670525209126,2.54,0.9395764,True,11961.0,9607.0
абажур,18,2.82e-07,-6.549750891680639,2.45,0.9364398,True,1674.0,10314.0
аббатиса,1,1.35e-07,-6.8696662315049934,2.13,0.99428385,True,11961.0,12696.0
аббатство,21,1.2e-06,-5.920818753952375,3.08,1.0328046,True,1404.0,5703.0
аббревиатура,41,1.05e-06,-5.978810700930062,3.02,0.94115585,True,587.0,6093.0
абеляр,1,2e-07,-6.698970004336019,2.3,0.93384933,True,11961.0,11470.0
аберрация,13,1.82e-07,-6.739928612014925,2.26,0.9259378,True,2412.0,11768.0
абзац,15,1.74e-06,-5.7594507517174005,3.24,0.9884452,True,2073.0,4736.0
абие,2,0.0,,0.0,0.97341084,True,9435.0,16422.0
абитуриент,6,3.63e-07,-6.440093374963888,2.56,1.0186708,True,4962.0,9469.0
аболиционист,3,2.75e-08,-7.560667306169737,1.44,0.9441688,True,7747.0,15781.0
абонемент,8,1.74e-06,-5.7594507517174005,3.24,0.9664402,True,3876.0,4736.0
абонент,1,2.24e-06,-5.649751981665837,3.35,0.91407233,True,11961.0,4094.0
абордаж,5,5.01e-07,-6.300162274132754,2.7,0.9814363,True,5709.0,8380.0
абориген,17,2.4e-07,-6.619788758288394,2.38,0.966315,True,1787.0,10893.0
аборт,8,3.09e-06,-5.510041520575165,3.49,0.97054833,True,3876.0,3400.0
абразив,5,7.94e-08,-7.100179497572904,1.9,0.9707839,True,5709.0,14121.0
абракадабра,29,1.58e-07,-6.801342913045577,2.2,0.92430913,True,951.0,12203.0
абрек,1,1.29e-07,-6.889410289700751,2.11,0.9517489,True,11961.0,12813.0
абрикос,41,6.92e-07,-6.1598939055432425,2.84,0.90403587,True,587.0,7371.0
абрис,10,1.7e-07,-6.769551078621726,2.23,0.9821593,True,3149.0,11997.0
абс,1,1.26e-06,-5.8996294548824375,3.1,0.93123823,True,11961.0,5582.0
абсент,6,3.47e-07,-6.459670525209126,2.54,0.9819976,True,4962.0,9607.0
абсолют,20,1.45e-06,-5.838631997765025,3.16,0.94986266,True,1485.0,5234.0
абсолютизация,2,1.7e-08,-7.769551078621726,1.23,0.92376024,True,9435.0,16177.0
абсолютизм,8,1.82e-07,-6.739928612014925,2.26,0.9800852,True,3876.0,11768.0
абсорбция,3,1.41e-07,-6.85078088734462,2.15,0.9108124,True,7747.0,12531.0
абстиненция,4,2.75e-08,-7.560667306169737,1.44,0.86590576,True,6612.0,15781.0
абстрагирование,7,4.9e-08,-7.309803919971486,1.69,0.98858464,True,4372.0,15059.0
абстрактность,7,5.62e-08,-7.250263684430939,1.75,1.0008653,True,4372.0,14817.0
абстракционизм,14,1.41e-07,-6.85078088734462,2.15,0.9332237,True,2220.0,12531.0
абстракция,117,7.24e-07,-6.140261433802853,2.86,0.93993473,True,107.0,7224.0
абсурд,14,2.88e-06,-5.540607512240769,3.46,0.9700926,True,2220.0,3541.0
абсцесс,14,3.55e-07,-6.449771646944906,2.55,0.9588845,True,2220.0,9539.0
абсцисса,1,1.82e-08,-7.739928612014925,1.26,0.94539636,True,11961.0,16127.0
абхаз,1,1.45e-07,-6.838631997765025,2.16,0.9027192,True,11961.0,12460.0
абхазец,4,2.45e-08,-7.610833915635467,1.39,0.9238569,True,6612.0,15902.0
авангард,22,8.32e-06,-5.079876673709276,3.92,0.98032355,True,1328.0,1758.0
авангардизм,2,1.02e-07,-6.991399828238082,2.01,0.9416178,True,9435.0,13450.0
аванпост,2,1.91e-07,-6.718966632752273,2.28,0.8866153,True,9435.0,11624.0
аванс,6,2.82e-06,-5.549750891680639,3.45,0.965719,True,4962.0,3589.0
авансцена,4,3.02e-08,-7.519993057042849,1.48,0.9359493,True,6612.0,15690.0
авантюра,5,6.76e-07,-6.1700533040583645,2.83,0.9565259,True,5709.0,7445.0
авантюрист,1,8.91e-07,-6.050122295963125,2.95,1.0172572,True,11961.0,6591.0
авария,11,1.29e-05,-4.889410289700751,4.11,0.9656172,True,2872.0,1258.0
аватар,6,2.57e-06,-5.590066876668706,3.41,0.9512448,True,4962.0,3787.0
авгур,1,1.35e-07,-6.8696662315049934,2.13,0.86254305,True,11961.0,12696.0
август,15,1.91e-05,-4.718966632752273,4.28,0.901218,True,2073.0,904.0
авеню,3,4.9e-06,-5.309803919971486,3.69,1.0383446,True,7747.0,2520.0
аверс,3,1.78e-07,-6.749579997691106,2.25,0.92637515,True,7747.0,11856.0
авиабилет,3,4.17e-07,-6.379863945026242,2.62,0.9811236,True,7747.0,9005.0
авиабомба,1,1.29e-07,-6.889410289700751,2.11,0.9451394,True,11961.0,12813.0
авиакомпания,1,7.41e-06,-5.130181792020672,3.87,1.0349456,True,11961.0,1896.0
авиалайнер,2,1.78e-06,-5.749579997691106,3.25,0.98007584,True,9435.0,4685.0
авианосец,7,2.19e-06,-5.6595558851598815,3.34,0.993214,True,4372.0,4172.0
