idx,score,mean_dist,sd_dist,cv_dist,min_dist,max_dist,range_dist,skewness,kurtosis,bottleneck_w1,bottleneck_w2,bottleneck_dist,potential_mean,improvement,km_cluster,topology
0,88.73156799,0.9522379,0.07175537,0.07535446,0.7719219,1.0843947,0.31247282,-0.47097227,0.8970125,комета,труба,0.7719219,0.96125376,0.009015858,3,Uniform
1,94.43462974,0.990319,0.07766183,0.07842102,0.8187977,1.132744,0.31394625,-0.19647488,-0.10276818,ферзь,астролог,0.8187977,0.99889505,0.0085760355,0,Uniform
2,87.57900638,0.9440859,0.10765737,0.11403345,0.6833917,1.1742086,0.49081695,-0.09089062,0.42878914,морковь,печенка,0.6833917,0.9571206,0.013034701,0,Uniform
3,92.62309473,0.978603,0.09146127,0.09346106,0.79600847,1.1386466,0.34263813,-0.27204478,-0.6043291,гитара,гранатомет,0.79600847,0.9877327,0.009129703,0,Uniform
4,89.47531904,0.95741165,0.0574682,0.060024545,0.86384,1.0871593,0.22331929,0.41716084,-0.11829233,склеп,шуруп,0.86384,0.9620902,0.0046785474,0,Uniform
5,88.07602742,0.94762176,0.09899241,0.10446405,0.6519135,1.0839443,0.4320308,-1.045639,1.8300977,колбаса,коробка,0.6519135,0.96240723,0.014785469,1,Uniform
6,81.45101241,0.89763385,0.09639341,0.10738611,0.73642373,1.0441886,0.3077649,-0.3987053,-0.8098602,лес,закат,0.73642373,0.90569437,0.008060515,0,Uniform
7,90.83677641,0.9667131,0.09613644,0.09944672,0.7785343,1.1902268,0.4116925,0.13258709,0.319283,парфюм,лексикон,0.7785343,0.976122,0.009408951,0,Uniform
8,88.40864668,0.9499708,0.1015815,0.10693118,0.7166859,1.1002302,0.38354433,-0.89055955,0.3232572,хлеб,ложка,0.7166859,0.961635,0.011664212,3,Uniform
9,94.15823122,0.9885528,0.080431536,0.08136291,0.86403733,1.2367319,0.37269455,1.2398382,2.716382,ферзь,детерминант,0.86403733,0.99477863,0.0062258244,0,Uniform
10,84.22766164,0.9193757,0.09766083,0.10622516,0.736115,1.0669377,0.3308227,-0.18116403,-1.0317494,палитра,радуга,0.736115,0.9285388,0.009163082,0,Uniform
11,88.62407602,0.9514848,0.101309635,0.10647531,0.7763123,1.1666102,0.39029795,0.19192164,-0.6528275,елка,звезда,0.7763123,0.9602434,0.0087586045,0,Uniform
12,91.61763238,0.97195315,0.117228195,0.12061095,0.7591826,1.1559517,0.39676917,-0.4442745,-0.6036513,урюк,каюк,0.7591826,0.98259175,0.010638595,3,Uniform
13,87.98743477,0.9469939,0.0749253,0.0791191,0.7745162,1.0517532,0.27723694,-0.9059293,-0.14843035,черника,бирюза,0.7745162,0.9556177,0.008623838,3,Uniform
14,93.25186569,0.9827073,0.07402041,0.07532294,0.7945091,1.092464,0.29795486,-0.613492,0.008559227,молоко,кислород,0.7945091,0.9921172,0.0094099045,3,Uniform
15,90.48767839,0.9643484,0.121827915,0.12633185,0.71432495,1.139803,0.4254781,-0.26090688,-0.95473146,потолок,облако,0.71432495,0.97684956,0.01250118,0,Uniform
16,93.41848084,0.9837882,0.0818192,0.08316749,0.7938187,1.1039768,0.31015813,-0.68221366,-0.3179834,поднос,кран,0.7938187,0.9932866,0.009498417,3,Uniform
17,92.92627914,0.9805872,0.07723731,0.07876638,0.8830831,1.1873966,0.30431354,0.75383276,0.48054767,девственность,фикция,0.8830831,0.98546237,0.004875183,0,Uniform
18,95.18905464,0.99510247,0.09960602,0.10009625,0.83520854,1.2054608,0.37025225,0.29236397,-0.6946721,детерминант,эмпатия,0.83520854,1.0030972,0.007994711,0,Uniform
19,89.23660906,0.9557582,0.10632283,0.111244485,0.808777,1.1635364,0.35475945,0.31195775,-0.977442,озеро,планета,0.808777,0.9631073,0.007349074,0,Uniform
20,85.2888678,0.9273706,0.09118667,0.09832819,0.7914729,1.1130064,0.32153344,0.17653115,-0.68239284,эмпатия,абстракционизм,0.7914729,0.9341655,0.00679487,0,Uniform
21,88.78944136,0.9526429,0.08757562,0.091929115,0.7484982,1.1245803,0.37608206,-0.775545,0.70904756,урок,философия,0.7484982,0.9628501,0.010207176,3,Uniform
22,91.83778254,0.97341853,0.103905275,0.10674265,0.75633526,1.109308,0.35297275,-0.71428466,-0.16380262,сок,кишечник,0.75633526,0.9842726,0.010854065,3,Uniform
23,89.13421808,0.95504713,0.09002793,0.09426543,0.76277035,1.0871524,0.324382,-0.18882242,-0.7256961,золото,цвет,0.76277035,0.964661,0.009613872,0,Uniform
24,86.79023837,0.9384086,0.077962056,0.08307901,0.72896814,1.0718954,0.34292722,-0.72718894,0.6804967,мыло,хлеб,0.72896814,0.9488807,0.010472059,3,Uniform
25,96.08664385,1.000723,0.101701185,0.10162771,0.7808868,1.2173196,0.43643278,-0.18325056,-0.07855368,любовь,семя,0.7808868,1.0117147,0.010991693,0,Uniform
26,88.00616702,0.94712675,0.113671914,0.12001764,0.7065699,1.1376022,0.4310323,-0.4831572,-0.7065339,коннотация,крипта,0.7065699,0.9591546,0.01202786,3,Uniform
27,92.18454857,0.9757158,0.094897926,0.0972598,0.7665238,1.1960402,0.42951638,-0.42677662,1.0535026,икра,дискотека,0.7665238,0.9861754,0.010459602,3,Uniform
28,87.63280503,0.94447,0.0935282,0.09902719,0.7506969,1.1205494,0.36985254,-0.31120518,-0.1661706,шпилька,подушка,0.7506969,0.9541588,0.009688795,0,Uniform
29,87.69843731,0.94493836,0.13054603,0.13815296,0.712209,1.1723132,0.46010423,0.19309537,-0.8315377,рибосома,агломерация,0.712209,0.9565749,0.011636555,0,Uniform
30,88.3185931,0.9493361,0.1318065,0.1388407,0.63457763,1.140622,0.5060444,-0.81150025,0.027318716,планктон,суша,0.63457763,0.9650742,0.01573807,3,Uniform
31,89.02754411,0.9543048,0.07737771,0.0810828,0.7701907,1.0661209,0.29593015,-0.85734016,0.26115632,апелляция,сегрегация,0.7701907,0.96351063,0.009205818,3,Uniform
32,98.36868059,1.0146841,0.110081315,0.10848826,0.8524478,1.2371516,0.38470381,0.23871936,-0.6859832,тессеракт,эксгумация,0.8524478,1.0227959,0.0081118345,0,Uniform
33,82.91822819,0.90927684,0.07896081,0.08683913,0.7060942,1.0688943,0.36280006,-0.6514476,0.9306855,магазин,город,0.7060942,0.91943586,0.010159016,3,Uniform
34,88.7802345,0.9525785,0.08703113,0.09136374,0.8029505,1.101599,0.29864848,-0.16962597,-0.76594186,комета,атом,0.8029505,0.96005994,0.007481456,0,Uniform
35,90.53273749,0.96465445,0.11290476,0.11704166,0.6836122,1.1142403,0.43062806,-0.9056239,0.42905593,тарелка,ручка,0.6836122,0.97870654,0.014052093,3,Uniform
36,92.54276525,0.9780755,0.07957701,0.0813608,0.8541374,1.1306351,0.27649772,0.0039480417,-1.0566317,крик,ком,0.8541374,0.9842726,0.006197095,0,Uniform
37,98.6198853,1.0161932,0.09360003,0.0921085,0.8421859,1.1998024,0.35761648,-0.055696085,-0.52509403,предводитель,камень,0.8421859,1.0248935,0.008700371,0,Uniform
38,100.4903027,1.0272655,0.086584665,0.08428655,0.8749957,1.2001662,0.32517052,0.063663706,-0.6052356,козодой,эксгумация,0.8749957,1.034879,0.0076134205,0,Uniform
39,90.39497124,0.9637181,0.06566127,0.06813327,0.8229797,1.1084468,0.28546715,-0.34515,0.42868948,собака,ель,0.8229797,0.9707551,0.007036984,3,Uniform
40,97.21941887,1.0077108,0.09808292,0.09733241,0.85066044,1.1857271,0.33506668,-0.04577634,-0.9202528,метелица,гель,0.85066044,1.0155632,0.007852435,0,Uniform
41,79.38738603,0.8806232,0.09066921,0.10296027,0.68383145,1.0310643,0.34723282,-0.16839628,-0.41079164,пол,телефон,0.68383145,0.89046276,0.009839535,0,Uniform
42,94.10024689,0.98818123,0.0885676,0.08962688,0.8263686,1.1324636,0.306095,-0.052419182,-0.9263797,шепот,шаман,0.8263686,0.9962718,0.008090556,0,Uniform
43,86.37262217,0.9353694,0.051920567,0.05550809,0.8244003,1.0174346,0.19303429,-0.28625694,-0.72959805,лебедь,метеорит,0.8244003,0.94091785,0.005548477,0,Uniform
44,88.59861584,0.9513061,0.10932253,0.11491836,0.62359893,1.11804,0.49444103,-1.2025561,2.0354114,гумус,углерод,0.62359893,0.9676914,0.016385317,1,Uniform
45,78.03769119,0.8690595,0.10350389,0.11909874,0.68383145,1.0917724,0.40794098,0.427187,-0.30666375,пол,телефон,0.68383145,0.8783209,0.00926137,0,Uniform
46,93.26562,0.9827966,0.12176908,0.123900585,0.7122402,1.1851771,0.47293687,-0.7493657,0.14245176,кредо,мышление,0.7122402,0.99632436,0.013527751,3,Uniform
47,89.65963343,0.9586835,0.08661912,0.090352155,0.76959693,1.0864576,0.31686068,-0.61093134,-0.31115675,кот,кактус,0.76959693,0.96813786,0.00945437,3,Uniform
48,93.91333444,0.9869815,0.08360683,0.08470962,0.8808137,1.187987,0.30717325,1.0225312,0.69197416,гараж,удивление,0.8808137,0.9922899,0.0053083897,0,Uniform
49,95.60372654,0.99770844,0.09316119,0.09337516,0.7900939,1.146014,0.35592008,-0.2054696,-0.47827363,общение,индивидуальность,0.7900939,1.0080892,0.010380745,0,Uniform
50,93.08037519,0.9815919,0.097551666,0.09938108,0.74636465,1.1973349,0.45097023,-0.07543437,0.625602,ишак,трактор,0.74636465,0.99335325,0.011761367,0,Uniform
51,88.74019944,0.95229846,0.13039382,0.13692537,0.5156045,1.12005,0.60444546,-1.5826414,4.109186,склад,бункер,0.5156045,0.9741332,0.021834731,1,Uniform
52,89.87836255,0.96018755,0.09726885,0.10130192,0.73839545,1.0765505,0.33815503,-0.95536757,-0.092491865,суицид,круиз,0.73839545,0.9712771,0.011089563,3,Uniform
53,68.70156743,0.7766633,0.13110775,0.168809,0.43876737,0.98509103,0.54632366,-0.82314867,0.50900936,радость,любовь,0.43876737,0.79355806,0.016894758,3,Star
54,77.04567077,0.86032057,0.14709961,0.17098233,0.62096727,1.1224405,0.5014732,0.3413194,-0.9248688,флажогод,балясина,0.62096727,0.8722882,0.011967659,0,Random
