word,dat_frequency,mean_score,category,umap_x,umap_y
поднос,9,91.28375630555556,UNCATEGORIZED,2.8732939,4.3523154
комета,100,89.9437719368,NATURE,3.4150884,6.83253
объем,5,90.71629297199999,UNCATEGORIZED,7.5716224,6.305151
коромысло,60,90.65946524416667,OBJECT_HOME,2.5991504,4.358456
крупица,8,91.9713932175,UNCATEGORIZED,4.2495885,4.2813525
нарост,3,91.99527370333332,UNCATEGORIZED,4.8972306,3.6754594
труба,65,83.86698159753848,OBJECT_HOME,3.5385685,4.948741
деревня,26,86.69606846576923,UNCATEGORIZED,4.589053,6.750156
капот,77,92.73325577207791,OBJECT_TECH,2.8072467,5.2013216
ферзь,24,88.57996785249999,UNCATEGORIZED,4.431177,8.529143
кисть,36,86.33363225805556,UNCATEGORIZED,3.7634354,3.780535
астролог,36,96.03212800444443,UNCATEGORIZED,2.5597851,9.794027
кипа,3,92.49340857333334,UNCATEGORIZED,3.3318827,4.351036
жертва,8,87.05364305,UNCATEGORIZED,1.5614636,9.755809
любовь,376,85.8174369242553,ABSTRACT,9.3631935,5.8864317
морковь,111,83.74783627801799,FOOD,2.5186388,1.4625437
трейдинг,1,87.57900638,UNCATEGORIZED,2.6252823,6.881492
блистер,7,88.83053195714285,UNCATEGORIZED,2.695973,5.6161895
кластер,36,90.09331859444444,UNCATEGORIZED,4.268884,6.967729
печенка,1,87.57900638,UNCATEGORIZED,3.6908536,2.4480984
оракул,11,90.98510702727273,UNCATEGORIZED,2.2553642,9.240091
детерминант,7,91.87916347714285,UNCATEGORIZED,7.7411304,4.245014
гитара,99,86.77865789909092,ART_CULTURE,4.079014,7.9097247
каша,78,84.25970139705129,FOOD,2.9642966,1.880619
сердцебиение,2,91.72870939,UNCATEGORIZED,8.041273,3.2063825
сатана,7,88.03591050714286,UNCATEGORIZED,1.7480505,9.264521
гранатомет,3,90.06785631666666,UNCATEGORIZED,1.9375769,5.208441
склеп,5,89.27961352400001,UNCATEGORIZED,4.451894,6.174736
шуруп,103,94.08618112339806,OBJECT_HOME,2.1451774,5.039835
дельфин,42,89.72992515095238,UNCATEGORIZED,0.18602614,8.14132
кислота,62,89.63460567451612,SCIENCE,5.0154743,2.1994326
политик,5,88.584269042,UNCATEGORIZED,3.0115752,9.842712
отара,3,92.85667199333334,UNCATEGORIZED,2.8294542,7.2865324
орбита,47,91.27372107851063,SCIENCE,5.8863606,4.8247676
колбаса,93,86.92122746419356,FOOD,2.9222965,2.0440636
миля,11,90.4219272409091,UNCATEGORIZED,4.5395846,4.368063
коробка,88,84.1610592203409,OBJECT_HOME,3.2648294,4.2467275
планета,252,86.2188983211508,PLACE,4.832056,6.8405805
синтаксис,30,89.22978588433332,UNCATEGORIZED,6.7280316,4.966039
плюшка,9,88.59854100666666,UNCATEGORIZED,1.3839139,6.930835
комар,38,89.87533743842104,UNCATEGORIZED,0.32931677,8.097491
стакан,79,83.37509511202532,OBJECT_HOME,3.677745,1.9510231
лес,221,84.77273712230767,PLACE,4.649893,5.6138372
свекла,40,80.56932768375,UNCATEGORIZED,2.3721738,1.3992922
муха,27,85.61806219629631,UNCATEGORIZED,0.15382975,8.082087
пыль,94,87.73473802638298,NATURE,4.73653,3.7405388
закат,34,88.79836746852942,UNCATEGORIZED,4.896024,4.7940736
трава,193,84.27361637222798,NATURE,2.4949024,2.5627503
впадина,33,89.69028040151514,UNCATEGORIZED,4.42307,5.290798
спутник,46,88.58049627152174,UNCATEGORIZED,3.4832609,7.3398943
митохондрия,67,88.70187237910449,SCIENCE,5.946225,2.866663
молибден,7,82.97233460142857,UNCATEGORIZED,4.890503,2.2980068
парфюм,14,91.29241333142855,UNCATEGORIZED,3.8060393,2.8236792
лексикон,5,90.12424569999999,UNCATEGORIZED,6.292407,6.4706764
число,41,89.54592701707318,UNCATEGORIZED,6.61096,7.958656
ракета,137,86.47328676372263,OBJECT_TECH,2.963894,6.40851
хлеб,192,85.46636411916666,FOOD,3.1684358,2.0640612
мамонт,15,89.27550655066666,UNCATEGORIZED,0.16203566,8.57992
материк,22,87.62920567681817,UNCATEGORIZED,4.710387,6.174511
ложка,189,83.25467482867724,OBJECT_HOME,2.6134744,1.6383983
золото,47,85.57678017191489,NATURE,4.4002786,2.5840077
солнцестояние,23,89.84646081999999,UNCATEGORIZED,7.2595315,7.9972196
кенгуру,52,90.47860610403849,ANIMAL,0.037819847,8.464798
камень,196,84.36091351627552,NATURE,3.5367074,3.3161304
циклоп,7,88.33487572571427,UNCATEGORIZED,1.1278069,8.751682
иволга,11,89.35529763727271,UNCATEGORIZED,-0.02516523,7.8233237
чаруса,1,84.22766164,UNCATEGORIZED,1.1084366,7.02768
колонна,23,90.37530869086957,UNCATEGORIZED,5.177192,8.474046
палитра,24,87.14510475375,UNCATEGORIZED,6.261379,5.4028625
апокалипсис,28,90.41574694285714,UNCATEGORIZED,6.8762836,6.7571054
радуга,101,87.76848007475247,NATURE,4.671266,4.896286
кот,657,83.0603223575799,ANIMAL,0.054886926,8.582428
трамвай,58,88.68130821086207,OBJECT_TECH,3.615317,7.589474
олигарх,4,87.840256335,UNCATEGORIZED,2.9250762,9.843573
синхрофазотрон,96,88.75865787979166,OBJECT_TECH,2.9962595,5.807048
елка,57,85.54462611192984,NATURE,4.400713,4.930956
политология,3,93.07316340333334,UNCATEGORIZED,6.8874664,4.8070617
звезда,280,85.42258457807142,NATURE,4.4820104,4.963367
сырок,4,78.9633783775,UNCATEGORIZED,2.9219332,2.0811367
сорока,21,91.04168089285716,UNCATEGORIZED,2.1513855,8.755555
срок,4,90.55943738,UNCATEGORIZED,7.0935125,8.246232
урок,52,87.38532301000001,ACTION_PROCESS,2.7545316,8.952525
урюк,13,88.47670870923078,UNCATEGORIZED,2.1300373,1.5555693
каюк,2,90.78659314500001,UNCATEGORIZED,6.2705126,6.3583527
каюта,5,91.444421672,UNCATEGORIZED,3.706143,6.4250917
ледник,31,88.97423234290322,UNCATEGORIZED,4.4224377,5.686053
мясник,2,90.80865261,UNCATEGORIZED,2.510528,9.685183
дневник,5,92.670136864,UNCATEGORIZED,6.09657,7.2220283
черника,6,69.21591544166667,UNCATEGORIZED,1.7582264,1.5611382
корень,60,86.00165880900002,NATURE,2.2661166,1.9456012
стрекоза,25,85.2164576216,UNCATEGORIZED,0.0010952904,8.034861
бирюза,7,89.26195000428571,UNCATEGORIZED,4.2693787,1.3678386
молоко,225,86.32905655364443,FOOD,3.384883,1.7612362
энциклопедия,26,89.16290916,UNCATEGORIZED,6.147472,7.122003
барсук,13,88.95975678615385,UNCATEGORIZED,0.12200431,8.32129
кислород,53,91.01842264415096,SCIENCE,4.7845917,2.2191927
нота,77,90.16013415935065,ART_CULTURE,5.798575,6.766841
диван,185,83.0515499938919,OBJECT_HOME,2.8528628,4.59987
человек,218,83.6293223971101,PERSON,2.0923448,8.757554
косоглазие,5,94.480093332,UNCATEGORIZED,8.096293,3.0627737
потолок,59,84.0315462018644,OBJECT_HOME,3.99073,5.1893353
двоевластие,1,90.48767839,UNCATEGORIZED,8.218722,5.567859
варежка,25,89.01190918039998,UNCATEGORIZED,2.932776,3.7438748
фанфара,5,92.90096256,UNCATEGORIZED,1.1501936,7.0937057
облако,299,86.5140620958194,NATURE,4.8863816,4.62602
паранойя,15,89.99334053066666,UNCATEGORIZED,8.364939,3.3994102
климакс,12,87.97608235666667,UNCATEGORIZED,7.8694186,3.1997974
бережливость,3,93.95079688,UNCATEGORIZED,9.761613,4.9810667
кран,74,84.72476473675675,OBJECT_HOME,2.8733115,5.18054
дрянь,11,90.28937588,UNCATEGORIZED,0.6605877,9.183911
переход,14,91.18015169499999,UNCATEGORIZED,7.3741035,6.776829
девственность,6,89.58277344666668,UNCATEGORIZED,9.588621,5.3872547
лаборатория,12,87.68271178416666,UNCATEGORIZED,4.8921027,7.207519
треуголка,3,89.08694730333333,UNCATEGORIZED,1.8083905,3.4601142
фикция,14,88.64785704142857,UNCATEGORIZED,7.0989494,5.628425
череп,16,86.601856775625,UNCATEGORIZED,3.977142,3.760569
пионер,22,91.08992917136364,UNCATEGORIZED,2.2359715,9.977069
тревожность,14,88.97412380928573,UNCATEGORIZED,8.737309,4.039381
отрочество,6,90.34668166666667,UNCATEGORIZED,8.712308,5.666582
суп,97,84.3502287528866,FOOD,3.1345952,1.8738782
эмпатия,46,87.86423490021738,UNCATEGORIZED,8.09101,4.4386625
эльф,26,90.42068419923079,UNCATEGORIZED,1.7607049,8.9080715
стул,431,81.82519088902552,OBJECT_HOME,2.8636098,4.6484814
озеро,89,85.73317316494382,NATURE,4.5169005,5.7989206
вертолет,64,88.83089276140625,OBJECT_TECH,3.113305,7.1258373
буханка,9,83.55386129000001,UNCATEGORIZED,3.0060008,2.4140422
болезнь,56,86.66613060732142,ABSTRACT,7.8508654,2.666362
ножницы,70,87.73667123328572,OBJECT_HOME,2.364262,4.456949
абстракционизм,14,89.31962602285714,UNCATEGORIZED,7.984633,4.3126245
пингвин,83,89.61358530566264,ANIMAL,-0.09275783,8.2422
монтаж,6,91.49667695666666,UNCATEGORIZED,7.0509377,5.8742933
говно,81,80.82008136950617,BODY,0.6535969,9.299459
огурец,132,83.64044438250001,FOOD,2.4434013,1.5545359
философия,98,89.47658389846937,ABSTRACT,7.3369617,5.311705
лев,58,86.21493779827586,ANIMAL,0.031277232,8.592963
окружность,11,88.69442044090908,UNCATEGORIZED,5.6768293,4.709256
нора,29,87.87494229137928,UNCATEGORIZED,-0.10131145,6.676445
поле,187,86.1964404193048,PLACE,4.671396,5.5751295
сок,52,84.41581771192308,FOOD,3.5010269,1.7026563
кишечник,31,89.33580189322579,UNCATEGORIZED,4.9396,3.3971908
таймер,19,88.25934326842105,UNCATEGORIZED,2.7571151,5.9085174
водород,31,86.64338327580647,UNCATEGORIZED,4.89813,2.269573
археология,8,91.20872291875,UNCATEGORIZED,6.9511633,4.7744036
космос,510,87.81101094829413,PLACE,4.0901065,6.994187
ястреб,7,89.72936916571429,UNCATEGORIZED,-0.17695567,8.081873
ребенок,102,83.24239452294118,PERSON,2.0231643,8.506099
цвет,78,84.76317392448719,ABSTRACT,4.2077007,3.70499
береза,65,84.68336709984615,NATURE,1.6528641,2.0424082
инквизиция,10,88.88653771400001,UNCATEGORIZED,5.994099,7.589822
мыло,107,87.23911489074766,OBJECT_HOME,3.5649645,2.7589629
небо,563,84.58532124927176,NATURE,4.9780207,4.7743416
акула,60,87.09648109400001,ANIMAL,0.22074954,7.4412413
папоротник,18,87.5096423188889,UNCATEGORIZED,2.0335937,2.288924
рыцарь,33,88.88934055757576,UNCATEGORIZED,2.4886096,8.757776
ртуть,27,88.94115834851851,UNCATEGORIZED,4.6774144,2.3825207
стол,811,82.73666807319358,OBJECT_HOME,2.8384266,4.528193
лещ,11,78.18378835363637,UNCATEGORIZED,0.22631139,5.1329103
бронх,2,89.76324229,UNCATEGORIZED,5.5359383,3.2455587
семя,31,88.86627057129034,UNCATEGORIZED,2.4607167,2.3142576
резинка,31,85.69031524354838,UNCATEGORIZED,3.3467872,3.5342424
филогенез,1,88.00616702,UNCATEGORIZED,7.358417,4.589055
корова,219,83.654657246621,ANIMAL,0.2558448,8.842694
коннотация,10,88.959358391,UNCATEGORIZED,7.05414,4.6506624
туесок,7,86.43747869857143,UNCATEGORIZED,2.6327744,4.3720922
вода,292,81.02875790708904,NATURE,4.8581514,4.3216457
метеор,14,87.7445111407143,UNCATEGORIZED,3.2478845,7.0226088
крипта,9,91.23167137444445,UNCATEGORIZED,4.271356,6.165947
шапка,58,86.58386527275862,OBJECT_HOME,1.8616117,3.443411
инверсия,8,88.29729388749999,UNCATEGORIZED,7.4532323,4.4416146
икра,22,89.68415895045455,UNCATEGORIZED,2.9467719,2.0383852
дискотека,10,87.31242989699999,UNCATEGORIZED,6.571571,6.7636714
удар,19,90.24735952105263,UNCATEGORIZED,5.3521767,6.035991
печаль,29,86.69649652379313,UNCATEGORIZED,9.645609,5.991778
политика,41,91.08176335390243,UNCATEGORIZED,7.312433,5.865283
